"","type","rmse","fill","param","analysis"
"1","prob_hardness",63.1471489783484,"model","hardness","probabilistic_basins"
"2","prob_ph",0.546271209014345,"model","ph","probabilistic_basins"
"3","prob_ph_80",0.599530817426781,"model","ph","probabilistic_basins"
"4","prob_eco_hardness",78.2605413026609,"model","hardness","probabilistic_eco_region"
"5","prob_eco_ph",0.47306596700122,"model","ph","probabilistic_eco_region"
"6","prob_eco_ph_80",0.628496446655065,"model","ph","probabilistic_eco_region"
"7","prob_hardness_d",69.0136831938184,"default","hardness","probabilistic_basins"
"8","prob_ph_d",0.560485210549322,"default","ph","probabilistic_basins"
"9","prob_eco_hardness_d",75.8293324671106,"default","hardness","probabilistic_eco_region"
"10","prob_eco_ph_d",0.584647148620078,"default","ph","probabilistic_eco_region"
"11","basin_ph",0.387111327874482,"model","ph","basin_medians"
"12","basin_ph_80",0.507810916179337,"model","ph","basin_medians"
"13","basin_hardness",62.7092083769415,"model","hardness","basin_medians"
"14","eco_hardness",70.3096091182011,"model","hardness","eco_region_medians"
"15","eco_ph",0.47306596700122,"model","ph","eco_region_medians"
"16","eco_ph_80",0.628496446655065,"model","ph","eco_region_medians"
"17","basin_ph_default",0.53172514619883,"default","ph","basin_medians"
"18","basin_hardness_default",64.1994974874372,"default","hardness","basin_medians"
"19","eco_hardness_default",80.242816091954,"default","hardness","eco_region_medians"
"20","eco_ph_default",0.584647148620078,"default","ph","eco_region_medians"
